row_index,organization_original,standardized_org,similarity_score
740,"Birch Steward Kolasch and Birch, LLP","Birch, Stewart, Kolasch & Birch, LLP",100.0
741,Davis Wright Tremaine,Davis Wright Tremaine LLP,100.0
749,Culhane Meadows PLLC,Culhane PLLC,100.0
752,Baker Hostetler LLP,BakerHostetler,100.0
755,Arent Fox LLP,ArentFox Schiff LLP,100.0
757,Wilson Sonsini Good & Rosati PC,Wilson Sonsini Goodrich & Rosati,100.0
760,Womble Bond Dickinson,Womble Bond Dickinson (US) LLP,100.0
763,Suiter Swantz PC LLO,Suiter Swantz IP,100.0
765,"Marshall, Gerstein & Borun LLP","MARSHALL, GERSTEIN & BORUN LLP",100.0
769,"Dickinson Wright, PLLC",Dickinson Wright PLLC,100.0
772,Kirton & McConkie,Kirton McConkie,100.0
780,"Benesch, Friedlander, Coplan & Aronoff LLP",Benesch Friedlander Coplan & Aronoff LLP,100.0
785,"Ballard Spahr Andrews & Ingersoll, LLP",Ballard Spahr LLP,100.0
787,"Marshall, Gerstein & Borun LLP","MARSHALL, GERSTEIN & BORUN LLP",100.0
813,K&L Gates,K&L Gates LLP,100.0
817,"Dorsey & Whitney, LLP",Dorsey & Whitney LLP,100.0
831,"Fitch, Even, Tabin & Flannery","Fitch, Even, Tabin & Flannery LLP",100.0
832,"PERKINS COIE, LLP",Perkins Coie LLP,100.0
896,Brooks Kushman PC,Brooks Kushman P.C.,100.0
897,Greenberg Traurig,"Greenberg Traurig, LLP",100.0
915,Paradice and Li LLP,Paradice & Li LLP,100.0
926,"Finnegan, Henderson, Farabow, Garrett and Dunner, LLP","Finnegan, Henderson, Farabow, Garrett & Dunner, LLP",100.0
927,"Knobbe Martens Olson & Bear, LLP","Knobbe, Martens, Olson & Bear, LLP",100.0
929,Banner & Witcoff,"Banner & Witcoff, Ltd.",100.0
933,"Nath, Goldberg, & Meyer","Nath, Goldberg & Meyer",100.0
937,"Davis Wright Tremaine, LLP 920 Fifth Avenue",Davis Wright Tremaine LLP,100.0
939,Kilpatrick Townsend & Stockton,Kilpatrick Townsend & Stockton LLP,100.0
946,"FIG. 1 Patents, PLLC",FIG. 1 Patents,100.0
947,"Kilpatrick Townsend & Stockton, LLP",Kilpatrick Townsend & Stockton LLP,100.0
955,"Morrison & Foerster, LLP",Morrison & Foerster LLP,100.0
958,Global IP Counselors LLP,"Global IP Counselors, LLP",100.0
976,"Wood, Herron & Evans, L.L.P.",Wood Herron & Evans LLP,100.0
999,"Quarles and Brady, LLP",Quarles & Brady LLP,100.0
1003,Thorpe North and Western,Thorpe North & Western,100.0
1025,"Birch Steward Kolasch & Birch, LLP","Birch, Stewart, Kolasch & Birch, LLP",95.23809523809524
1026,"Dickinson Wright, PLLC",Dickinson Wright PLLC,100.0
1027,"Leydig, Voit & Mayer","Leydig, Voit & Mayer, Ltd.",100.0
1037,Cantor Colburn LLp,CANTOR COLBURN LLP,100.0
1046,"McAndrews Held & Malloy, Ltd.","McAndrews, Held & Malloy, Ltd.",100.0
1057,"Johnson, Marcou, Isaacs, & Nix","Johnson, Marcou, Isaacs & Nix, LLC",100.0
1064,Lackenbach Siegel LLP,Nolte Lackenbach Siegel,100.0
1067,"Schwegman, Lundberg & Woessner, P.A.","Schwegman Lundberg & Woessner, P.A.",100.0
1080,Fay Kaplun & Marcin LLP,"Fay Kaplun & Marcin, LLP",100.0
1085,"Schwegman, Lundberg & Woessner, P.A.","Schwegman Lundberg & Woessner, P.A.",100.0
1093,Merchant & Gould PC,Merchant & Gould P.C.,100.0
1102,"Lippes Mathias, LLP",Lippes Mathias LLP,100.0
1113,"Goodwin Procter, LLP The New York Times Building",Goodwin Procter LLP,100.0
1118,Snell and Wilmer L.L.P.,SNELL & WILMER L.L.P.,100.0
1130,"MRG IP LAW, P.A. DBA Mueting Raasch Group",Mueting Raasch Group,100.0
1141,Alston & Bird,Alston & Bird LLP,100.0
1145,Dickinson Wright RLLP,Dickinson Wright PLLC,100.0
1156,Greenberg Traurig,"Greenberg Traurig, LLP",100.0
1162,Brooks Kushman P.C. - Law Firm,Brooks Kushman P.C.,100.0
1164,Crowell & Moring,Crowell & Moring LLP,100.0
1165,Carlson Gaskey & Olds P.L.,"Carlson, Gaskey & Olds, P.C.",100.0
1178,"Pillsbury, Winthrop, Shaw Pittman LLP",Pillsbury Winthrop Shaw Pittman LLP,100.0
1180,K&L Gates,K&L Gates LLP,100.0
1183,Bayramoglu Law Offices LLC Christopher Mark Atkinson,Bayramoglu Law Offices LLC,100.0
1195,Greenberg Traurig LLC,"Greenberg Traurig, LLP",100.0
1209,Novak Druce LLP,NOVAK DRUCE CARROLL LLP,100.0
1211,Christensen Fonder Dardi,"Christensen, Fonder, Dardi & Herbert PLLC",100.0
1220,Lerner David Littenberg Krumholz and Mentlik LLP,Lerner David LLP,100.0
1222,"Leydig, Voit and Mayer, LTD","Leydig, Voit & Mayer, Ltd.",100.0
1233,Michael Best,Michael Best & Friedrich LLP,100.0
1241,"Michael Best & Friedrich, LLP",Michael Best & Friedrich LLP,100.0
1252,Pearl Cohen Zedek Latzer Baratz,PEARL COHEN ZEDEK LATZER BARATZ LLP,100.0
1254,"Fish & Richardson, P.C.",Fish & Richardson P.C.,100.0
1258,Schwabe Williamson & Wyatt PC,"Schwabe, Williamson & Wyatt, P.C.",100.0
1268,"Dorsey & Whitney, LLP",Dorsey & Whitney LLP,100.0
1274,Baker Botts LLP,Baker Botts L.L.P.,100.0
1277,Greenberg Traurig LLP,"Greenberg Traurig, LLP",100.0
1285,Wilson Sonsini Goodrich & Rosati Professional Corporation,Wilson Sonsini Goodrich & Rosati,100.0
1292,"Withrow & Terranova, P.L.L.C.","Withrow & Terranova, PLLC",100.0
1308,Womble Bond Dickinson,Womble Bond Dickinson (US) LLP,100.0
1313,Warner Norcross & Judd LLP,Warner Norcross + Judd LLP,100.0
1315,"Bozlcevic, Field & Francis LLP","Bozicevic, Field & Francis LLP",95.65217391304348
1320,Womble Bond Dickinson LLP,Womble Bond Dickinson (US) LLP,100.0
1336,"Knobbe Martens Olson & Bear, LLP","Knobbe, Martens, Olson & Bear, LLP",100.0
1340,"Schwegman, Lundberg & Woessner, P.A.","Schwegman Lundberg & Woessner, P.A.",100.0
1364,Sheppard Mullin Richter Hampton LLP,Sheppard Mullin Richter & Hampton LLP,100.0
1374,Baker Botts LLP,Baker Botts L.L.P.,100.0
1375,"Keith J Bae Shook, Hardy & Bacon LLP","Shook, Hardy & Bacon L.L.P.",100.0
1387,Levine Bagade Han LLP,Han IP PLLC,100.0
1388,Dority and Manning PA,"Dority & Manning, P.A.",100.0
1395,"Amin, Turocy & Watson LLP","Amin, Turocy & Watson, LLP",100.0
1413,Mccarter and English,"McCarter & English, LLP",100.0
1420,Baker McKenzie,Baker & McKenzie LLP,100.0
1429,Birch Stewart Kolasch and Birch LLP,"Birch, Stewart, Kolasch & Birch, LLP",100.0
1438,Drinker Biddle & Reath LLP,Faegre Drinker Biddle & Reath LLP,100.0
1451,Kilpatrick Townsend and Stockton LLP,Kilpatrick Townsend & Stockton LLP,100.0
1452,Nixon Peabody LLP,NIXON PEABODY LLP,100.0
1454,McDermott Will & Emery,McDermott Will & Emery LLP,100.0
1461,Wilson Sonsini Goodrich and Rosati,Wilson Sonsini Goodrich & Rosati,100.0
1472,Dickinson Wright RLLP,Dickinson Wright PLLC,100.0
1486,"Husch Blackwell, LLP",Husch Blackwell LLP,100.0
1491,"Foley Hoag, LLP",Foley Hoag LLP,100.0
1502,"McDermott, Will & Emery, LLP",McDermott Will & Emery LLP,100.0
1510,Eversheds Sutherland LLP,Eversheds Sutherland (US) LLP,100.0
1511,"Michael Best & Friedrich, LLP",Michael Best & Friedrich LLP,100.0
1512,Fletcher Yoder,"Fletcher Yoder, P.C.",100.0
1564,HUSCH BLACKWELL LLP,Husch Blackwell LLP,100.0
1567,Eschweiler & Potashnik LLC,"Eschweiler & Potashnik, LLC",100.0
1576,"GREENBERG TRAURIG, LLP","Greenberg Traurig, LLP",100.0
1578,Quarles and Brady,Quarles & Brady LLP,100.0
1602,"Rankin, Hill & Clark, LLP","Rankin, Hill & Clark LLP",100.0
1607,"Banner & Witcoff, LTD","Banner & Witcoff, Ltd.",100.0
1621,Perkins Coie Brown & Bain,Perkins Coie LLP,100.0
1637,Morgan Lewis & Bockius LLP,"Morgan, Lewis & Bockius LLP",100.0
1651,"Wilmer Cutler Pickering Hale and Dorr, LLP",Wilmer Cutler Pickering Hale and Dorr LLP,100.0
1665,Norton Rose Fulbright Canada,Norton Rose Fulbright Canada LLP,100.0
1670,Womble Bond Dickinson LLP,Womble Bond Dickinson (US) LLP,100.0
1675,"Ware Fressola, Maguire & Barber LLP","Ware, Fressola, Maguire & Barber LLP",100.0
1698,Pearne and Gordon LLP,Pearne & Gordon LLP,100.0
1702,Snell & Wilmer,SNELL & WILMER L.L.P.,100.0
1709,Norton Rose Fulbright,NORTON ROSE FULBRIGHT US LLP,100.0
1731,"Stoel Rives, LLP",Stoel Rives LLP,100.0
1732,Brownstein Hyatt Farber Schreck,"Brownstein Hyatt Farber Schreck, LLP",100.0
1748,Knobbe Martens,"Knobbe, Martens, Olson & Bear, LLP",100.0
1753,"Marshall, Gerstein & Borun LLP","MARSHALL, GERSTEIN & BORUN LLP",100.0
1756,Shaw Pittman LLP,Pillsbury Winthrop Shaw Pittman LLP,100.0
1768,"Mattingly & Malur, P.C.","MATTINGLY & MALUR, PC",100.0
1770,Cantor Colburn LLP,CANTOR COLBURN LLP,100.0
1782,"Cantor Colburn, LLP",CANTOR COLBURN LLP,100.0
1785,"Gray Ice Higdon, PLLC",Gray Ice Higdon,100.0
1787,"Thorpe North Western, LLP",Thorpe North & Western,100.0
1792,Cantor Colburn LLP,CANTOR COLBURN LLP,100.0
1805,"Wilmer Cutler Pickering Hale and Dorr, LLP",Wilmer Cutler Pickering Hale and Dorr LLP,100.0
1812,Kilpatrick Townsend and Stockton LLP,Kilpatrick Townsend & Stockton LLP,100.0
1819,"McAndrews, Held, & Malloy, Ltd.","McAndrews, Held & Malloy, Ltd.",100.0
1824,Brooks Kushman,Brooks Kushman P.C.,100.0
1829,"Cantor Colburn, LLp",CANTOR COLBURN LLP,100.0
1841,"Knobbe, Martens, Olson & Bear LLP","Knobbe, Martens, Olson & Bear, LLP",100.0
1842,"Holtz Holtz & Volek, PC","Holtz, Holtz & Volek PC",100.0
1859,Stoel Rives,Stoel Rives LLP,100.0
1866,DLA Piper US LLP,DLA Piper LLP (US),100.0
1877,Baker Botts LLP,Baker Botts L.L.P.,100.0
1880,Myers Bigel P.A.,"Myers Bigel, P.A.",100.0
1885,Quarles & Brady,Quarles & Brady LLP,100.0
1886,Greenberg Traurig LLP,"Greenberg Traurig, LLP",100.0
1888,"Young & Basile, P.C.","Young Basile Hanlon & MacFarlane, P.C.",100.0
1889,Young Basile,"Young Basile Hanlon & MacFarlane, P.C.",100.0
1904,"Crowe and Dunlevy, PC",Crowe & Dunlevy LLC,100.0
1919,"Bacon & Thomas, PLLC","BACON & THOMAS, PLLC",100.0
1921,Dority and Manning PA,"Dority & Manning, P.A.",100.0
1923,Cantor Colburn LLP,CANTOR COLBURN LLP,100.0
1924,"Marshall, Gerstein & Borun LLP","MARSHALL, GERSTEIN & BORUN LLP",100.0
1937,Fish & Richardson PC,Fish & Richardson P.C.,100.0
1940,"Carr & Ferrell, LLP",Carr & Ferrell LLP,100.0
1954,"Benesch, Friedlander, Coplan & Aronoff LLP",Benesch Friedlander Coplan & Aronoff LLP,100.0
1958,"Merchant & Gould, P.C.",Merchant & Gould P.C.,100.0
1973,"Merchant & Gould, P.C.",Merchant & Gould P.C.,100.0
1987,Barnes & Thornburg,Barnes & Thornburg LLP,100.0
1994,"Fitch, Even, Tabin & Flannery, LLP","Fitch, Even, Tabin & Flannery LLP",100.0
2020,Merchant & Gould,Merchant & Gould P.C.,100.0
2023,"Oblon, McClelland, Maier & Neustadt, L.L.P","Oblon, McClelland, Maier & Neustadt, L.L.P.",100.0
2025,DLA Piper LLP,DLA Piper LLP (US),100.0
2031,Knobbe Martens Olson & Bear,"Knobbe, Martens, Olson & Bear, LLP",100.0
2038,"Bayramoglu Law Offices, LLC",Bayramoglu Law Offices LLC,100.0
2040,"Leydig Voit and Mayer, Ltd.","Leydig, Voit & Mayer, Ltd.",100.0
2042,"Finnegan, Henderson, Farabow, Garrett & Dunner LLP","Finnegan, Henderson, Farabow, Garrett & Dunner, LLP",100.0
2045,Fish and Richardson PC,Fish & Richardson P.C.,100.0
2077,Alston & Bird,Alston & Bird LLP,100.0
2078,"Mintz Levin Cohn Ferris Glovsky and Popeo, PC","Mintz Levin Cohn Ferris Glovsky and Popeo, P.C.",100.0
2081,"Myers Bigel Sibley & Sajovec, P.A.","Myers Bigel, P.A.",100.0
2085,"Reising Ethington, P.C.",Reising Ethington P.C.,100.0
2089,"Conley Rose, PC","Conley Rose, P.C.",100.0
2096,"FIG. 1 Patents, PLLC",FIG. 1 Patents,100.0
2104,"Maginot, Moore & Beck, LLP","Maginot, Moore & Beck LLP",100.0
2111,Haynes Boone,"Haynes and Boone, LLP",100.0
2115,Baker Botts L. L. P.,Baker Botts L.L.P.,100.0
2119,Womble Bond Dickinson US LLP,Womble Bond Dickinson (US) LLP,100.0
2150,"Crowell & Moring, LLP",Crowell & Moring LLP,100.0
2152,Pillsbury Winthrop Shaw Pittmann LLP,Pillsbury Winthrop Shaw Pittman LLP,98.41269841269842
2159,"Goodwin Procter, LLP",Goodwin Procter LLP,100.0
2167,"Schwegman, Lundberg & Woessner, P.A.","Schwegman Lundberg & Woessner, P.A.",100.0
2179,"Morris, Manning and Martin, LLP","Morris, Manning & Martin, LLP",100.0
2182,Foley and Lardner LLP,Foley & Lardner LLP,100.0
2183,Foley and Lardner,Foley & Lardner LLP,100.0
2191,Eversheds Sutherland,Eversheds Sutherland (US) LLP,100.0
2204,Smith & Hopen PA,"Smith & Hopen, P.A.",100.0
2212,Alston & Bird,Alston & Bird LLP,100.0
2222,"Pepper Hamilton, LLP",Troutman Pepper Hamilton Sanders LLP,100.0
2254,Bookoff McAndrews,"Bookoff McAndrews, PLLC",100.0
2256,"Patterson & Sheridan, LLP","Patterson + Sheridan, LLP",100.0
2262,"Greenblum & Bernstein, P.L.C.","GREENBLUM & BERNSTEIN, P.L.C.",100.0
2263,Fletcher Yoder,"Fletcher Yoder, P.C.",100.0
2264,"Wood, Herron & Evans, LLP",Wood Herron & Evans LLP,100.0
2274,"Knobbe Martens Olson and Bear, LLP","Knobbe, Martens, Olson & Bear, LLP",100.0
2276,Squire Patton Boggs (US) LLP,SQUIRE PATTON BOGGS (US) LLP,100.0
2277,Perkins Coie,Perkins Coie LLP,100.0
2284,Raphael Bellum PLLC,RAPHAEL BELLUM PLLC,100.0
2287,"Eckert Seamans Cherin & Mellott, LLC Two Liberty Place","Eckert Seamans Cherin & Mellott, LLC",100.0
2293,"Leydig Voit and Mayer, Ltd","Leydig, Voit & Mayer, Ltd.",100.0
2294,Stern Kessler Goldstein Fox,"Sterne, Kessler, Goldstein & Fox P.L.L.C.",98.18181818181819
2299,Norton Rose Fulbright US LLP,NORTON ROSE FULBRIGHT US LLP,100.0
2312,Wolf Greenfield and Sacks,"Wolf, Greenfield & Sacks, P.C.",100.0
2322,"Knobbe Martens Olson and Bear, LLP","Knobbe, Martens, Olson & Bear, LLP",100.0
2329,Cantor Colburn LLP,CANTOR COLBURN LLP,100.0
2331,"Wood, Herron & Evans LLP",Wood Herron & Evans LLP,100.0
2341,Nixon Peabody LLP,NIXON PEABODY LLP,100.0
2359,"Shook, Hardy & Bacon, LLP","Shook, Hardy & Bacon L.L.P.",100.0
2360,"Kilpatrick, Townsend & Stockton",Kilpatrick Townsend & Stockton LLP,100.0
2375,"BENOIT & COTE, Inc.",Benoit & Cote Inc.,100.0
2380,"Stoel Rives, LLP",Stoel Rives LLP,100.0
2405,Rabin and Berdo PC,"Rabin & Berdo, P.C.",100.0
2416,Ladas and Parry,"Ladas & Parry, LLP",100.0
2419,"Fish & Richardson, P.C.",Fish & Richardson P.C.,100.0
2433,"Sterne, Kessler, Goldstein & Fox, PLLC","Sterne, Kessler, Goldstein & Fox P.L.L.C.",100.0
2435,"Brooks, Cameron and Huebsch, PLLC","Brooks, Cameron & Huebsch, PLLC",100.0
2442,Baker Botts LLP,Baker Botts L.L.P.,100.0
2443,"LERNER, DAVID, LITTENBERG, KRUMHOLZ & MENTLIK, LLP",Lerner David LLP,100.0
2444,Williams Mullen PC,Williams Mullen,100.0
2446,"Banner and Witcoff, Ltd","Banner & Witcoff, Ltd.",100.0
2459,Baker Hostetler LLP,BakerHostetler,100.0
2463,"Kilpatrick Townsend & Stockton, LLP",Kilpatrick Townsend & Stockton LLP,100.0
2467,Snell and Wilmer L.L.P.,SNELL & WILMER L.L.P.,100.0
2493,"Morrison, and Foerster, LLP",Morrison & Foerster LLP,100.0
2496,Lowe Hauptman & Ham LLP,"HAUPTMAN HAM, LLP",100.0
2498,Arent Fox LLP,ArentFox Schiff LLP,100.0
2500,"Sheppard, Mullin, Richter & Hampton LLP",Sheppard Mullin Richter & Hampton LLP,100.0
2504,Crowe & Dunlevy,Crowe & Dunlevy LLC,100.0
2509,"Schwabe, Williamson & Wyatt","Schwabe, Williamson & Wyatt, P.C.",100.0
2518,"Clements Bernard, PLLC",Clements Bernard Walker,100.0
2519,"KILPATRICK TOWNSEND & STOCKTON, LLP",Kilpatrick Townsend & Stockton LLP,100.0
2522,"Klarquist Sparkman, LLP One World Trade Center","Klarquist Sparkman, LLP",100.0
2534,Scully Scott Murphy and Presser,"Scully, Scott, Murphy & Presser, P.C.",100.0
2540,Greenblum and Bernstein PLC,"GREENBLUM & BERNSTEIN, P.L.C.",100.0
2543,Squire Patton Boggs LLP,SQUIRE PATTON BOGGS (US) LLP,100.0
2549,"Oliff & Berridge, PLC",Oliff PLC,100.0
2552,"Sterne, Kessler, Goldstein & Fox PLLC","Sterne, Kessler, Goldstein & Fox P.L.L.C.",100.0
2553,Shumaker & Sieffert,"Shumaker & Sieffert, P.A.",100.0
2560,Greenberg Traurig LLP,"Greenberg Traurig, LLP",100.0
2568,"KILPATRICK TOWNSEND & STOCKTON, LLP",Kilpatrick Townsend & Stockton LLP,100.0
2571,"Brooks Kushman, P.C.",Brooks Kushman P.C.,100.0
2584,"Chiesa, Shahinian & Giantomasi PC",Chiesa Shahinian & Giantomasi PC,100.0
2594,"Perkins Coie, LLP",Perkins Coie LLP,100.0
2602,Procopio Cory Hargreaves and Savitch LLP,"Procopio, Cory, Hargreaves & Savitch LLP",100.0
2607,"Withrow & Terranova, P.L.L.C.","Withrow & Terranova, PLLC",100.0
2612,"Dinsmore & Shohl, LLP",Dinsmore & Shohl LLP,100.0
2614,Wolf Greenfield & Sacks P.C.,"Wolf, Greenfield & Sacks, P.C.",100.0
